,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
428,Comedy,151.792,Dimension Films,2013-04-11,20000000.0,78378744.0,86.0,4.835,2411.0
431,Animation-Family,151.087,Walt Disney Pictures-Walt Disney Animation Studios,2010-11-24,260000000.0,592461732.0,100.0,7.6,9729.0
436,Horror-Thriller,150.107,United Artists-American Zoetrope-Cinerenta Medienbeteiligungs KG-Cinerenta-Cinebeta-VCL Communications,2001-07-01,10000000.0,59217789.0,90.0,6.433,2411.0
438,Animation-Adventure-Comedy-Family,149.969,Pixar,2017-06-15,175000000.0,383925276.0,102.0,6.8,4690.0
439,Action-Adventure-Science Fiction,149.447,Marvel Studios,2018-02-13,200000000.0,1347597973.0,135.0,7.393,19644.0
440,Animation-Adventure-Comedy-Family-Fantasy,149.365,Reel FX Creative Studios-20th Century Fox Animation-Chatrone,2014-10-01,50000000.0,97437106.0,95.0,7.529,2262.0
441,Adventure-Family-Animation-Drama,149.327,Walt Disney Pictures-Fairview Entertainment,2019-07-12,260000000.0,1667635327.0,118.0,7.142,8601.0
442,Animation-Family-Adventure,148.741,Walt Disney Pictures-Walt Disney Feature Animation,1998-06-18,90000000.0,304320254.0,88.0,7.924,8297.0
443,Horror,148.536,New Line Cinema-Cecchi Gori Group Tiger Cinematografica-Avery Pix-Sean S. Cunningham Films-Crystal Lake Entertainment-WTC Productions-Yannix Technology Corporation,2003-08-15,30000000.0,116643421.0,97.0,6.027,2115.0
448,Horror-Thriller,146.864,Compass International Pictures-Falcon International Productions,1978-10-24,325000.0,70274000.0,91.0,7.576,4477.0
451,Adventure-Fantasy-Action,146.243,Walt Disney Pictures-Jerry Bruckheimer Films,2003-07-09,140000000.0,655011224.0,143.0,7.779,18036.0
